销量排名,车型名称,车型月销量,车型ID,价格区间,用户评分,爬取时间
1,Model Y,44848,5769,26.35-31.35万,4.5,2025-08-06 13:27:55
2,星愿,40891,7806,6.88-9.78万,4.54,2025-08-06 13:27:55
3,秦PLUS,38618,5964,7.98-17.98万,4.6,2025-08-06 13:27:55
4,秦L,31304,7578,9.98-15.38万,4.53,2025-08-06 13:27:56
5,海鸥,30708,6762,6.98-8.58万,4.55,2025-08-06 13:27:56
6,宋PLUS新能源,26813,5761,13.58-18.08万,4.7,2025-08-06 13:27:56
7,宏光MINIEV,26111,5714,3.28-9.99万,4.53,2025-08-06 13:27:56
8,朗逸,25249,614,8.00-15.19万,3.64,2025-08-06 13:27:56
9,轩逸,24447,448,7.99-17.49万,4.79,2025-08-06 13:27:56
10,小米SU7,23225,6962,21.59-29.99万,4.36,2025-08-06 13:27:56
11,海豹06新能源,21770,7588,9.98-13.98万,4.54,2025-08-06 13:27:56
12,星越L,21668,6004,14.77-17.97万,4.56,2025-08-06 13:27:56
13,问界M8,21185,8003,35.98-44.98万,4.47,2025-08-06 13:27:56
14,凯美瑞,20358,110,17.18-25.98万,4.39,2025-08-06 13:27:56
15,速腾,20192,442,13.99-17.29万,4.52,2025-08-06 13:27:56
16,帕萨特,20008,528,16.45-23.99万,4.45,2025-08-06 13:27:56
17,宋Pro新能源,19895,5279,10.28-14.28万,4.45,2025-08-06 13:27:57
18,迈腾,19781,496,17.49-24.69万,4.54,2025-08-06 13:27:57
19,RAV4荣放,19726,770,16.98-23.88万,4.54,2025-08-06 13:27:57
20,途观L,19684,4274,18.68-26.68万,4.38,2025-08-06 13:27:57
21,海豚,18106,6139,9.98-12.98万,4.58,2025-08-06 13:27:57
22,宋L DM-i,17690,7815,13.58-17.58万,4.44,2025-08-06 13:27:57
23,探岳,17515,4744,19.89-25.99万,4.53,2025-08-06 13:27:57
24,本田CR-V,17164,314,18.59-26.39万,4.4,2025-08-06 13:27:57
25,卡罗拉锐放,16841,6428,12.98-18.48万,4.31,2025-08-06 13:27:57
26,Model 3,16636,5346,23.55-33.95万,4.58,2025-08-06 13:27:57
27,理想L6,16471,6950,24.98-27.98万,4.4,2025-08-06 13:27:57
28,瑞虎8,16288,4693,10.99-15.68万,4.52,2025-08-06 13:27:57
29,元UP,15347,7538,7.48-11.98万,4.53,2025-08-06 13:27:57
30,奥迪A6L,15151,18,42.79-65.68万,4.5,2025-08-06 13:27:58
31,长安CS75 PLUS,15101,5179,11.39-14.99万,4.5,2025-08-06 13:27:58
32,长安Lumin,15018,6674,3.79-6.59万,4.53,2025-08-06 13:27:58
33,零跑B10,14312,7877,9.98-14.98万,4.59,2025-08-06 13:27:58
34,逸动,14150,2429,7.29-9.69万,4.53,2025-08-06 13:27:58
35,小鹏MONA M03,14111,6998,11.98-13.98万,4.75,2025-08-06 13:27:58
36,海狮05 EV,14075,7982,11.78-13.78万,4.5,2025-08-06 13:27:58
37,宝马3系,14067,66,31.99-39.99万,4.55,2025-08-06 13:27:58
38,途岳,13935,4745,12.59-21.66万,4.44,2025-08-06 13:27:58
39,红旗H5,13857,4410,15.98-22.58万,4.57,2025-08-06 13:27:58
40,问界M9,13718,7207,46.98-56.98万,4.61,2025-08-06 13:27:58
41,熊猫,13471,6924,2.99-5.39万,4.59,2025-08-06 13:27:58
42,奔驰C级,13375,588,33.48-38.06万,4.52,2025-08-06 13:27:59
43,雅阁,13365,78,17.98-23.88万,4.53,2025-08-06 13:27:59
44,宝马5系,13299,65,43.99-52.59万,4.49,2025-08-06 13:27:59
45,元PLUS,13168,6298,11.58-14.78万,4.52,2025-08-06 13:27:59
46,奥迪Q5L,13018,4851,34.98-42.98万,4.44,2025-08-06 13:27:59
47,博越L,12971,6814,9.99-14.97万,4.5,2025-08-06 13:27:59
48,五菱缤果,12902,7045,5.68-8.48万,4.55,2025-08-06 13:27:59
49,奔驰E级,12666,197,45.18-59.98万,4.43,2025-08-06 13:27:59
50,奔驰GLC,12524,3862,42.78-53.13万,4.49,2025-08-06 13:27:59
51,锋兰达,12107,6414,12.88-18.48万,4.52,2025-08-06 13:28:16
52,钛3,12017,7356,13.38-19.38万,4.45,2025-08-06 13:28:16
53,昂科威Plus,11975,3554,22.99-25.99万,4.51,2025-08-06 13:28:16
54,汉,11972,5499,16.58-23.58万,4.42,2025-08-06 13:28:16
55,艾瑞泽8,11775,6664,9.99-14.89万,4.55,2025-08-06 13:28:16
56,皓影,11666,5393,18.59-26.39万,4.35,2025-08-06 13:28:16
57,海豹05 DM-i,11424,7981,7.98-10.38万,4.58,2025-08-06 13:28:16
58,帝豪,11365,3556,6.29-14.98万,4.46,2025-08-06 13:28:16
59,亚洲龙,11355,4962,17.88-25.68万,4.4,2025-08-06 13:28:16
60,星瑞,11238,5273,9.97-14.67万,4.51,2025-08-06 13:28:16
61,零跑C10,11123,7382,12.28-16.88万,4.59,2025-08-06 13:28:16
62,奔腾小马,10982,7231,2.49-5.39万,4.56,2025-08-06 13:28:16
63,缤越,10011,4701,6.68-9.68万,4.56,2025-08-06 13:28:16
64,捷途X70,9837,4683,10.69-14.99万,4.86,2025-08-06 13:28:17
65,红旗HS5,9549,5048,18.38-24.98万,4.62,2025-08-06 13:28:17
66,长安启源Q07,9546,7975,12.98-17.18万,4.45,2025-08-06 13:28:17
67,哈弗大狗,9261,5770,12.39-14.99万,4.57,2025-08-06 13:28:17
68,威兰达,9159,5472,17.38-26.48万,4.48,2025-08-06 13:28:17
69,赛那SIENNA,8846,6272,29.98-41.08万,4.58,2025-08-06 13:28:17
70,宝来,8585,633,11.29-14.39万,4.35,2025-08-06 13:28:17
